orderID,productID,productName,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry,unitPrice,quantity,discount
10248,11,Queso Cabrales,VINET,5,00:00.0,00:00.0,00:00.0,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,14,12,0
10249,14,Tofu,TOMSP,6,00:00.0,00:00.0,00:00.0,1,11.61,Toms Spezialit�_ten,Luisenstr. 48,M�_nster,NULL,44087,Germany,18.6,9,0
10250,41,Jack's New England Clam Chowder,HANAR,4,00:00.0,00:00.0,00:00.0,2,65.83,Hanari Carnes,Rua do Pa̤o 67,Rio de Janeiro,RJ,05454-876,Brazil,7.7,10,0
10251,22,Gustaf's Kn�_ckebr̦d,VICTE,3,00:00.0,00:00.0,00:00.0,1,41.34,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France,16.8,6,0.05
10252,20,Sir Rodney's Marmalade,SUPRD,4,00:00.0,00:00.0,00:00.0,2,51.3,Supr̻mes d̩lices,Boulevard Tirou 255,Charleroi,NULL,B-6000,Belgium,64.8,40,0.05
10253,31,Gorgonzola Telino,HANAR,3,00:00.0,00:00.0,00:00.0,2,58.17,Hanari Carnes,Rua do Pa̤o 67,Rio de Janeiro,RJ,05454-876,Brazil,10,20,0
10254,24,Guaran�� Fant��stica,CHOPS,5,00:00.0,00:00.0,00:00.0,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland,3.6,15,0.15
10255,2,Chang,RICSU,9,00:00.0,00:00.0,00:00.0,3,148.33,Richter Supermarkt,Starenweg 5,Gen̬ve,NULL,1204,Switzerland,15.2,20,0
10256,53,Perth Pasties,WELLI,3,00:00.0,00:00.0,00:00.0,2,13.97,Wellington Importadora,Rua do Mercado 12,Resende,SP,08737-363,Brazil,26.2,15,0
10257,27,Schoggi Schokolade,HILAA,4,00:00.0,00:00.0,00:00.0,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist�_bal,T��chira,5022,Venezuela,35.1,25,0
10258,2,Chang,ERNSH,1,00:00.0,00:00.0,00:00.0,1,140.51,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria,15.2,50,0.2
